gen,selection,resistance,freq
0,WT,2X MIC,1
0,WT,2X MIC,1
30,WT,2X MIC,1
30,WT,2X MIC,1
30,1/4 MIC,2X MIC,1
30,1/4 MIC,2X MIC,1
30,1/10 MIC,2X MIC,1
30,1/10 MIC,2X MIC,1
30,1/20 MIC,2X MIC,1
30,1/20 MIC,2X MIC,1
30,1/50 MIC,2X MIC,1
30,1/50 MIC,2X MIC,1
30,1/200 MIC,2X MIC,1
30,1/200 MIC,2X MIC,1
60,WT,2X MIC,1
60,WT,2X MIC,1
60,1/4 MIC,2X MIC,1
60,1/4 MIC,2X MIC,1
60,1/10 MIC,2X MIC,1
60,1/10 MIC,2X MIC,1
60,1/20 MIC,2X MIC,1
60,1/20 MIC,2X MIC,1
60,1/50 MIC,2X MIC,1
60,1/50 MIC,2X MIC,1
60,1/200 MIC,2X MIC,1
60,1/200 MIC,2X MIC,1
0,WT,8X MIC,0.000036
0,WT,8X MIC,0.00003675
30,WT,8X MIC,0.000047
30,WT,8X MIC,0.000052
30,1/4 MIC,8X MIC,0.0025
30,1/4 MIC,8X MIC,0.0025
30,1/10 MIC,8X MIC,0.000076
30,1/10 MIC,8X MIC,0.000093
30,1/20 MIC,8X MIC,0.000104
30,1/20 MIC,8X MIC,0.000144
30,1/50 MIC,8X MIC,0.000107
30,1/50 MIC,8X MIC,0.000074
30,1/200 MIC,8X MIC,0.000097
30,1/200 MIC,8X MIC,0.000114
0,WT,8X MIC,0.00002525
0,WT,8X MIC,0.00002875
60,1/4 MIC,8X MIC,0.000148
60,1/4 MIC,8X MIC,0.000162
60,1/10 MIC,8X MIC,0.000125
60,1/10 MIC,8X MIC,0.000125
60,1/20 MIC,8X MIC,0.0000875
60,1/20 MIC,8X MIC,0.0000875
60,1/50 MIC,8X MIC,0.0001125
60,1/50 MIC,8X MIC,0.0001125
60,1/200 MIC,8X MIC,0.0001075
60,1/200 MIC,8X MIC,0.0001075
0,WT,16X MIC,0.00003775
0,WT,16X MIC,0.00003125
30,WT,16X MIC,0.00003
30,WT,16X MIC,0.0000255
30,1/4 MIC,16X MIC,0.00025
30,1/4 MIC,16X MIC,0.00025
30,1/10 MIC,16X MIC,0.000051
30,1/10 MIC,16X MIC,0.00004
30,1/20 MIC,16X MIC,0.000041
30,1/20 MIC,16X MIC,0.00008
30,1/50 MIC,16X MIC,0.000166
30,1/50 MIC,16X MIC,0.000057
30,1/200 MIC,16X MIC,0.000104
30,1/200 MIC,16X MIC,0.00017
0,WT,16X MIC,0.00001625
0,WT,16X MIC,0.0000135
60,1/4 MIC,16X MIC,0.0000875
60,1/4 MIC,16X MIC,0.0000875
60,1/10 MIC,16X MIC,0.0000625
60,1/10 MIC,16X MIC,0.0000625
60,1/20 MIC,16X MIC,0.000045
60,1/20 MIC,16X MIC,0.000045
60,1/50 MIC,16X MIC,0.0000375
60,1/50 MIC,16X MIC,0.0000375
60,1/200 MIC,16X MIC,0.00003375
60,1/200 MIC,16X MIC,0.00003375
30,WT,32X MIC,0.0000125
30,WT,32X MIC,0.00001325
30,1/4 MIC,32X MIC,0.000382
30,1/4 MIC,32X MIC,0.000328
30,1/10 MIC,32X MIC,0.00003025
30,1/10 MIC,32X MIC,0.0000975
30,1/20 MIC,32X MIC,0.0000465
30,1/20 MIC,32X MIC,0.00003825
30,1/50 MIC,32X MIC,0.00004175
30,1/50 MIC,32X MIC,0.000043
30,1/200 MIC,32X MIC,0.00004275
30,1/200 MIC,32X MIC,0.0000285
0,WT,32X MIC,0.000016
0,WT,32X MIC,0.000012
60,1/4 MIC,32X MIC,0.000095
60,1/4 MIC,32X MIC,0.0000975
60,1/10 MIC,32X MIC,0.000082
60,1/10 MIC,32X MIC,0.00009
60,1/20 MIC,32X MIC,0.000144
60,1/20 MIC,32X MIC,0.000064
60,1/50 MIC,32X MIC,0.0001165
60,1/50 MIC,32X MIC,0.000051
60,1/200 MIC,32X MIC,0.000112
60,1/200 MIC,32X MIC,0.000141
30,WT,64X MIC,0.0000055
30,WT,64X MIC,0.000006
30,1/4 MIC,64X MIC,0.000282
30,1/4 MIC,64X MIC,0.0004185
30,1/10 MIC,64X MIC,0.00004025
30,1/10 MIC,64X MIC,0.0000435
30,1/20 MIC,64X MIC,0.00003075
30,1/20 MIC,64X MIC,0.00001575
30,1/50 MIC,64X MIC,0.00001475
30,1/50 MIC,64X MIC,0.0000115
30,1/200 MIC,64X MIC,0.00000575
30,1/200 MIC,64X MIC,0.0000065
0,WT,64X MIC,0.000006
60,1/4 MIC,64X MIC,0.00007525
60,1/4 MIC,64X MIC,0.00007775
60,1/10 MIC,64X MIC,0.000072
60,1/10 MIC,64X MIC,0.000062
60,1/20 MIC,64X MIC,0.00023
60,1/20 MIC,64X MIC,0.000035
60,1/50 MIC,64X MIC,0.000124
60,1/50 MIC,64X MIC,0.000024
60,1/200 MIC,64X MIC,0.000204
60,1/200 MIC,64X MIC,0.00022
